Title,Address,Access,Age,Floor,Fee,Management Fee,Deposit,Gratuity,Floor Plan,Area,Charge
ベルファース駒沢三丁目,東京都世田谷区駒沢３丁目,東急田園都市線 駒沢大学駅 徒歩10分、東急田園都市線 桜新町駅 徒歩13分,2023年7月(新築),3階建,"119,000円","10,000円",11.9万円,無料,2K,25.28㎡,0円
Ｋｏｌｅｔ堀切菖蒲園＃０５,東京都葛飾区東堀切２丁目,京成本線 お花茶屋駅 徒歩12分、京成本線 堀切菖蒲園駅 徒歩14分,2022年10月(築1年),3階建,"188,000円",0円,18.8万円,無料,2SLDK,72㎡,0円
市ヶ谷加賀町アパートA棟,東京都新宿区市谷加賀町２丁目,都営大江戸線 牛込柳町駅 徒歩5分,1969年4月(築54年),3階建,"163,000円","10,000円",16.3万円,無料,2LDK,48.71㎡,0円
Ｋｏｌｅｔ扇大橋,東京都足立区扇１丁目,日暮里舎人ライナー 扇大橋駅 徒歩11分,2023年1月(新築),3階建,"198,000円",0円,19.8万円,19.8万円,3LDK,76.99㎡,0円
グランカーサ三ノ輪Ⅱ,東京都台東区日本堤２丁目,東京メトロ日比谷線 三ノ輪駅 徒歩5分,2023年10月(新築),10階建,"171,000円","12,000円",無料,17.1万円,2DK,40.57㎡,0円
ＬＳメゾン,東京都杉並区方南２丁目,東京メトロ丸ノ内線 方南町駅 徒歩2分、東京メトロ丸ノ内線 中野富士見町駅 徒歩18分,2021年1月(築2年),3階建,"205,000円","5,000円",20.5万円,20.5万円,2LDK,60.21㎡,0円
ルフォンプログレ浅草入谷,東京都台東区千束２丁目,東京メトロ日比谷線 入谷駅 徒歩8分、つくばエクスプレス 浅草駅 徒歩11分,2022年1月(築1年),14階建,"205,000円","15,000円",20.5万円,無料,2LDK,50.4㎡,0円
リングハウス,東京都江戸川区鹿骨５丁目,ＪＲ総武線 小岩駅 徒歩26分,2005年7月(築18年),2階建,"95,000円","5,000円",無料,無料,3K,57.96㎡,0円
ウェルスクエア永福町,東京都杉並区和泉３丁目,京王井の頭線 永福町駅 徒歩5分,2023年10月(新築),4階建,"177,000円","10,000円",17.7万円,17.7万円,2LDK,42.88㎡,0円
ハイシティプラザ南大泉,東京都練馬区南大泉３丁目,西武池袋線 保谷駅 徒歩4分,1991年12月(築32年),8階建,"155,000円",0円,15.5万円,15.5万円,3LDK,74.63㎡,0円
錦織貸家,東京都新宿区西新宿５丁目,都営大江戸線 西新宿五丁目駅 徒歩6分、東京メトロ丸ノ内線 中野坂上駅 徒歩8分,2022年4月(築1年),2階建,"210,000円",0円,21.0万円,21.0万円,3DK,62.8㎡,"88,000円"
メゾン東小岩Ⅱ,東京都江戸川区東小岩５丁目,ＪＲ総武線 小岩駅 徒歩10分、京成本線 江戸川駅 徒歩14分,1988年11月(築35年),3階建,"80,000円","3,000円",8.0万円,無料,2K,36.36㎡,0円
コスモプレイス赤羽Ⅱ,東京都北区神谷２丁目,ＪＲ京浜東北・根岸線 赤羽駅 徒歩10分、東京メトロ南北線 志茂駅 徒歩14分,1989年6月(築34年),4階建,"105,000円","8,000円",10.5万円,無料,2DK,44.7㎡,0円
コンフォリア・リヴ根岸二丁目,東京都台東区根岸２丁目,ＪＲ山手線 鶯谷駅 徒歩3分、東京メトロ日比谷線 入谷駅 徒歩10分,2022年9月(築1年),13階建,"108,000円","8,000円",10.8万円,無料,2K,25.11㎡,0円
ADレジデンス戸越公園,東京都品川区豊町２丁目,東急大井町線 下神明駅 徒歩6分、東急大井町線 戸越公園駅 徒歩8分,1989年12月(築34年),3階建,"93,000円",0円,9.3万円,無料,2K,29.7㎡,"37,000円"
コンフォリア新御徒町,東京都台東区三筋２丁目,都営大江戸線 新御徒町駅 徒歩4分、都営大江戸線 蔵前駅 徒歩8分,2019年8月(築4年),14階建,"191,000円","10,000円",19.1万円,無料,2LDK,44.64㎡,0円
パークハイム,東京都北区赤羽１丁目,ＪＲ京浜東北・根岸線 赤羽駅 徒歩7分、ＪＲ埼京線 赤羽駅 徒歩7分,1992年12月(築31年),4階建,"115,000円",0円,11.5万円,無料,3K,46.92㎡,"88,000円"
エトワール,東京都北区赤羽２丁目,ＪＲ京浜東北・根岸線 赤羽駅 徒歩7分、東京メトロ南北線 赤羽岩淵駅 徒歩3分,2000年9月(築23年),6階建,"175,000円","5,000円",17.5万円,17.5万円,3LDK,67.65㎡,"88,000円"
ＡＬＴＥＲＮＡ日暮里,東京都荒川区東日暮里２丁目,東京メトロ日比谷線 三ノ輪駅 徒歩8分,2023年9月(新築),10階建,"198,000円","15,000円",無料,無料,2LDK,51.23㎡,0円
ピア・グランデ弐番館,東京都練馬区大泉学園町７丁目,西武池袋線 大泉学園駅 バス12分 西長久保下車 徒歩3分、東京メトロ有楽町線 地下鉄成増駅 バス12分 西長久保下車 徒歩3分,1992年10月(築31年),3階建,"107,500円","6,000円",10.8万円,無料,3DK,66.67㎡,0円
セゾンベルローズ,東京都大田区蒲田３丁目,京急本線 京急蒲田駅 徒歩6分、ＪＲ京浜東北・根岸線 蒲田駅 徒歩9分,1989年3月(築34年),3階建,"119,000円","7,000円",11.9万円,11.9万円,2DK,49.4㎡,0円
ＳＹＦＯＲＭＥ住吉,東京都江東区大島１丁目,東京メトロ半蔵門線 住吉駅 徒歩8分、都営新宿線 住吉駅 徒歩8分,2021年10月(築2年),10階建,"112,000円","10,000円",無料,無料,2K,25.74㎡,0円
ＡＬＴＥＲＮＡ新宿中落合,東京都新宿区中落合３丁目,都営大江戸線 落合南長崎駅 徒歩9分、西武池袋線 椎名町駅 徒歩10分,2020年9月(築3年),5階建,"100,000円","15,000円",無料,無料,2K,25.72㎡,0円
コスモリード駒沢大学,東京都世田谷区上馬２丁目,東急田園都市線 駒沢大学駅 徒歩8分、東急世田谷線 西太子堂駅 徒歩13分,1994年3月(築29年),5階建,"167,000円","8,000円",16.7万円,16.7万円,2LDK,54.42㎡,"88,000円"
山﨑マンション,東京都足立区東綾瀬３丁目,東京メトロ千代田線 北綾瀬駅 徒歩6分、つくばエクスプレス 青井駅 徒歩22分,1990年4月(築33年),3階建,"64,000円","2,000円",6.4万円,無料,2DK,43㎡,"70,400円"
日神パレステージ東長崎,東京都豊島区長崎５丁目,西武池袋線 東長崎駅 徒歩6分,1989年3月(築34年),10階建,"123,000円","8,000円",12.3万円,無料,2DK,43.5㎡,0円
グランデュール六義園,東京都文京区本駒込６丁目,都営三田線 千石駅 徒歩4分、ＪＲ山手線 巣鴨駅 徒歩9分,1994年10月(築29年),5階建,"129,000円","9,000円",12.9万円,12.9万円,2DK,41.18㎡,0円
WORVE東京木場,東京都江東区塩浜,東京メトロ東西線 木場駅 徒歩11分、東京メトロ有楽町線 豊洲駅 徒歩16分,2022年12月(築1年),12階建,"137,000円","18,000円",無料,無料,2K,30.9㎡,0円
タムラコーポ,東京都江戸川区上篠崎,都営新宿線 篠崎駅 徒歩13分,1991年3月(築32年),3階建,"63,000円","3,000円",6.3万円,無料,2DK,40.03㎡,0円
シャトル金町,東京都葛飾区南水元１丁目,ＪＲ常磐線 金町駅 徒歩19分、京成金町線 京成金町駅 徒歩21分,1990年7月(築33年),3階建,"64,000円","4,000円",無料,無料,2DK,39.74㎡,0円
桜レジデンスC,東京都荒川区町屋４丁目,東京メトロ千代田線 町屋駅 徒歩10分、京成本線 京成町屋駅 徒歩10分,1947年5月(築76年),2階建,"60,000円","5,000円",無料,無料,2K,33㎡,"66,000円"
サンハイム清水,東京都台東区橋場,東京メトロ銀座線 浅草駅 バス7分 橋場老人福祉館西下車 徒歩22分、ＪＲ常磐線 南千住駅 バス5分 橋場1丁目下車 徒歩18分,1989年10月(築34年),11階建,"128,000円","12,000円",12.8万円,無料,2LDK,53.63㎡,0円
コンフォール上祖師谷,東京都世田谷区上祖師谷５丁目,京王線 仙川駅 徒歩12分,1998年12月(築25年),4階建,"130,000円","12,000円",13.0万円,無料,2LDK,61.28㎡,0円
経堂サンハイツ,東京都世田谷区経堂,小田急小田原線 千歳船橋駅 徒歩6分、小田急小田原線 経堂駅 徒歩13分,1980年7月(築43年),3階建,"137,000円","3,000円",13.7万円,無料,3DK,54㎡,"34,000円"
クレストラン蒲田,東京都大田区蒲田３丁目,京急本線 京急蒲田駅 徒歩5分、ＪＲ京浜東北・根岸線 蒲田駅 徒歩11分,2022年8月(築1年),3階建,"140,000円","5,000円",無料,14.0万円,2DK,46.45㎡,"11,000円"
クリオ上野毛ラ・モード,東京都世田谷区上野毛１丁目,東急大井町線 上野毛駅 徒歩2分、東急田園都市線 二子玉川駅 徒歩17分,2004年8月(築19年),9階建,"194,000円","8,000円",無料,無料,2LDK,48.41㎡,0円
フローラルハイツお花茶屋,東京都葛飾区お花茶屋,京成本線 お花茶屋駅 徒歩12分、ＪＲ常磐線 亀有駅 徒歩20分,1973年3月(築50年),2階建,"45,000円",0円,無料,無料,2K,21.54㎡,0円
エステートピア・ｕ１号棟,東京都練馬区石神井台２丁目,西武池袋線 石神井公園駅 バス5分 石神井団地入口下車 徒歩19分、ＪＲ中央線 吉祥寺駅 バス27分 石神井団地入口下車 徒歩4分,1997年11月(築26年),2階建,"84,000円","3,000円",無料,無料,2DK,44.71㎡,"42,000円"
Ｂｒｉｌｌｉａ　ｉｓｔ　駒込,東京都北区西ケ原１丁目,ＪＲ山手線 駒込駅 徒歩5分、東京メトロ南北線 駒込駅 徒歩5分,2020年2月(築3年),12階建,"165,000円","12,000円",16.5万円,16.5万円,2DK,41.05㎡,0円
Ｊ．ＧＲＡＮ　Ｃｏｕｒｔ　浅草,東京都台東区浅草３丁目,東京メトロ銀座線 浅草駅 徒歩8分、つくばエクスプレス 浅草駅 徒歩7分,2023年9月(新築),12階建,"190,000円","15,000円",無料,無料,2DK,40.75㎡,0円
Ｊ．ＧＲＡＮ　Ｃｏｕｒｔ　品川西大井ＷＥＳＴ,東京都品川区西大井２丁目,ＪＲ横須賀線 西大井駅 徒歩7分、湘南新宿ライン宇須 西大井駅 徒歩7分,2023年8月(新築),5階建,"196,000円","20,000円",19.6万円,無料,2LDK,40.26㎡,0円
ルート南常盤台,東京都板橋区南常盤台１丁目,東武東上線 ときわ台駅 徒歩1分,1996年12月(築27年),7階建,"135,000円","10,000円",13.5万円,13.5万円,3DK,54.28㎡,0円
ジオエント浅草雷門,東京都台東区雷門１丁目,東京メトロ銀座線 浅草駅 徒歩4分、都営浅草線 浅草駅 徒歩4分,2023年2月(新築),11階建,"184,000円","15,000円",18.4万円,無料,2DK,40.85㎡,0円
パークアクシス蒲田壱番館,東京都大田区蒲田本町２丁目,京急本線 京急蒲田駅 徒歩8分、ＪＲ京浜東北・根岸線 蒲田駅 徒歩12分,2009年3月(築14年),7階建,"162,000円","10,000円",16.2万円,16.2万円,2DK,47.09㎡,0円
ハイツ若月,東京都中野区東中野４丁目,東京メトロ東西線 落合駅 徒歩4分、ＪＲ総武線 東中野駅 徒歩5分,1974年3月(築49年),3階建,"90,000円","5,000円",9.0万円,9.0万円,2DK,42㎡,"39,000円"
Ｊ．ＧＲＡＮ　Ｃｏｕｒｔ　品川西大井ＥＡＳＴ,東京都品川区西大井２丁目,ＪＲ横須賀線 西大井駅 徒歩7分、湘南新宿ライン宇須 西大井駅 徒歩7分,2023年9月(新築),9階建,"195,000円","20,000円",19.5万円,無料,2LDK,40.6㎡,0円
グリュンハイム和泉,東京都杉並区和泉,東京メトロ丸ノ内線 方南町駅 徒歩6分,1989年9月(築34年),5階建,"140,000円",0円,無料,無料,2LDK,61.79㎡,0円
イプセ多摩川緑地,東京都大田区南六郷３丁目,京急本線 雑色駅 徒歩10分、京急本線 六郷土手駅 徒歩13分,2007年2月(築16年),10階建,"160,000円","9,000円",16.0万円,16.0万円,2LDK,52.56㎡,0円
ダイヤハイツ,東京都中野区新井,ＪＲ中央線 中野駅 徒歩12分、西武新宿線 沼袋駅 徒歩9分,1998年9月(築25年),4階建,"125,000円","5,000円",12.5万円,12.5万円,2DK,41.17㎡,0円
デュオフラッツ板橋本町,東京都板橋区清水町,都営三田線 本蓮沼駅 徒歩4分、都営三田線 板橋本町駅 徒歩8分,2023年8月(新築),14階建,"203,000円","12,000円",20.3万円,無料,2LDK,46.85㎡,0円
アルファコート北綾瀬２,東京都足立区東和５丁目,東京メトロ千代田線 北綾瀬駅 徒歩10分,2023年5月(新築),7階建,"204,000円","15,000円",20.4万円,無料,2LDK,59.9㎡,0円
オープンブルーム綾瀬,東京都足立区綾瀬２丁目,ＪＲ常磐線 綾瀬駅 徒歩9分、東京メトロ千代田線 綾瀬駅 徒歩9分,2023年4月(新築),10階建,"195,000円","15,000円",19.5万円,無料,2LDK,49.12㎡,0円
Ｋｏｌｅｔ竹ノ塚北,東京都足立区西保木間２丁目,東武伊勢崎線 竹ノ塚駅 徒歩21分,2022年8月(築1年),3階建,"205,000円",0円,20.5万円,無料,3SLDK,97.19㎡,0円
フェリーチャス,東京都練馬区豊玉北,都営大江戸線 新江古田駅 徒歩6分、西武池袋線 江古田駅 徒歩13分,2020年3月(築3年),3階建,"197,000円","3,000円",19.7万円,19.7万円,3LDK,76.41㎡,"88,000円"
フェリーチェ錦糸町,東京都墨田区江東橋２丁目,ＪＲ総武線 錦糸町駅 徒歩7分、東京メトロ半蔵門線 住吉駅 徒歩8分,2022年2月(築1年),15階建,"106,000円","10,000円",10.6万円,無料,2K,25.6㎡,0円
リバティーハウス,東京都世田谷区船橋４丁目,小田急小田原線 千歳船橋駅 徒歩12分、京王線 桜上水駅 徒歩21分,1994年9月(築29年),3階建,"195,000円",0円,19.5万円,19.5万円,4LDK,73.7㎡,"88,000円"
堀切菖蒲園戸建,東京都葛飾区堀切６丁目,京成本線 堀切菖蒲園駅 徒歩8分、東京メトロ千代田線 綾瀬駅 徒歩19分,1985年10月(築38年),2階建,"148,000円",0円,14.8万円,無料,3DK,70.36㎡,0円
ジェノヴィア池袋本町,東京都豊島区池袋本町２丁目,東武東上線 下板橋駅 徒歩8分、東武東上線 北池袋駅 徒歩9分,2023年8月(新築),7階建,"115,500円","10,000円",無料,無料,2K,25.95㎡,0円
東京アクアージュ,東京都足立区栗原３丁目,東武伊勢崎線 西新井駅 徒歩10分、東武大師線 大師前駅 徒歩8分,2003年2月(築20年),14階建,"180,000円","10,000円",18.0万円,18.0万円,4LDK,93.03㎡,0円
フォレストメゾンＭ,東京都品川区南大井１丁目,京急本線 立会川駅 徒歩4分、ＪＲ京浜東北・根岸線 大井町駅 徒歩19分,2017年3月(築6年),2階建,"190,000円",0円,無料,無料,2LDK,69.77㎡,"88,000円"
ウェルスクエアイズム白金台,東京都港区白金台１丁目,都営三田線 白金台駅 徒歩5分、都営浅草線 高輪台駅 徒歩8分,2023年3月(新築),5階建,"206,000円","12,000円",20.6万円,20.6万円,2LDK,40.85㎡,0円
ＨＦ正光寺赤羽レジデンスⅡ,東京都北区岩淵町,東京メトロ南北線 赤羽岩淵駅 徒歩5分、ＪＲ京浜東北・根岸線 赤羽駅 徒歩13分,2020年1月(築3年),14階建,"200,000円","12,000円",20.0万円,20.0万円,2LDK,55.72㎡,0円
シャンボール第2南品川,東京都品川区南品川,京急本線 青物横丁駅 徒歩2分、ＪＲ京浜東北・根岸線 大井町駅 徒歩15分,1970年9月(築53年),7階建,"119,000円","10,000円",11.9万円,11.9万円,2DK,36㎡,"88,000円"
ＡＳＡＫＵＳＡ　ＯＮＥ,東京都台東区浅草５丁目,都営浅草線 浅草駅 徒歩13分、つくばエクスプレス 浅草駅 徒歩15分,2023年9月(新築),5階建,"194,000円","10,000円",無料,無料,2LDK,57.48㎡,0円
Ｋｏｌｅｔ梅島＃０３,東京都足立区梅田３丁目,東武伊勢崎線 梅島駅 徒歩16分,2022年5月(築1年),3階建,"197,000円",0円,19.7万円,無料,2SLDK,81.67㎡,0円
レジデンスシャルマン月島,東京都中央区月島３丁目,都営大江戸線 勝どき駅 徒歩6分、東京メトロ有楽町線 月島駅 徒歩5分,2004年1月(築19年),10階建,"204,000円","14,000円",20.4万円,無料,2DK,57.98㎡,0円
ミリアレジデンス品川中延,東京都品川区二葉４丁目,都営浅草線 中延駅 徒歩7分、湘南新宿ライン宇須 西大井駅 徒歩8分,2022年3月(築1年),5階建,"198,000円","15,000円",無料,無料,2DK,40.28㎡,0円
ＪＰｎｏｉｅ下高井戸,東京都世田谷区松原３丁目,京王線 下高井戸駅 徒歩3分、京王線 明大前駅 徒歩9分,2015年2月(築8年),13階建,"198,000円","15,000円",19.8万円,39.6万円,2LDK,47.75㎡,0円
ルクレ馬込,東京都大田区中馬込,都営浅草線 馬込駅 徒歩3分、都営浅草線 西馬込駅 徒歩12分,2017年4月(築6年),5階建,"144,000円","8,000円",無料,無料,2DK,40.88㎡,0円
サンライズ入谷,東京都台東区下谷３丁目,東京メトロ日比谷線 入谷駅 徒歩7分、東京メトロ日比谷線 三ノ輪駅 徒歩8分,1974年10月(築49年),11階建,"88,000円",0円,8.8万円,8.8万円,2K,38㎡,"88,000円"
パラシオン本郷,東京都文京区西片１丁目,都営三田線 春日駅 徒歩2分、東京メトロ南北線 後楽園駅 徒歩5分,1980年10月(築43年),9階建,"195,000円",0円,19.5万円,19.5万円,2LDK,54.75㎡,"88,000円"
ジュネス練馬,東京都練馬区中村北１丁目,西武池袋線 練馬駅 徒歩5分、都営大江戸線 練馬駅 徒歩5分,1978年1月(築45年),11階建,"84,000円","9,000円",8.4万円,無料,2DK,36.62㎡,0円
ミール千歳烏山,東京都世田谷区南烏山６丁目,京王線 千歳烏山駅 徒歩3分,1991年1月(築32年),9階建,"148,000円","5,000円",14.8万円,無料,2DK,46.2㎡,0円
コンフォリア下北沢,東京都世田谷区羽根木１丁目,京王井の頭線 下北沢駅 徒歩12分、京王井の頭線 新代田駅 徒歩6分,2005年2月(築18年),11階建,"204,000円","10,000円",20.4万円,無料,2DK,50.21㎡,0円
ディームス上野御徒町,東京都台東区台東３丁目,都営大江戸線 新御徒町駅 徒歩5分、東京メトロ日比谷線 仲御徒町駅 徒歩6分,2021年2月(築2年),13階建,"189,000円","12,000円",18.9万円,無料,2DK,40.2㎡,0円
ミュプレ池上,東京都大田区池上６丁目,東急池上線 池上駅 徒歩2分、東急多摩川線 矢口渡駅 徒歩18分,2021年3月(築2年),9階建,"168,000円","12,000円",16.8万円,無料,2DK,37.18㎡,0円
阪上ロイヤルハイツ第二,東京都荒川区南千住５丁目,東京メトロ日比谷線 南千住駅 徒歩8分、つくばエクスプレス 南千住駅 徒歩8分,1990年10月(築33年),10階建,"85,000円","8,000円",8.5万円,8.5万円,2DK,38.12㎡,0円
シャンポールサカエ,東京都北区中十条３丁目,ＪＲ京浜東北・根岸線 東十条駅 徒歩6分、ＪＲ埼京線 十条駅 徒歩12分,1987年1月(築36年),2階建,"76,000円","3,000円",7.6万円,無料,2DK,30.92㎡,0円
ジ・アパートメント　ヒルトップ中野,東京都中野区中野６丁目,ＪＲ中央線 中野駅 徒歩14分、東京メトロ東西線 落合駅 徒歩11分,2002年8月(築21年),12階建,"210,000円","6,000円",21.0万円,21.0万円,3LDK,65.08㎡,"88,000円"
Ｋｏｌｅｔ葛飾高砂＃０２,東京都葛飾区高砂７丁目,京成本線 京成高砂駅 徒歩10分,2022年8月(築1年),3階建,"209,000円",0円,20.9万円,無料,2SLDK,72.38㎡,0円
Ｋｏｌｅｔ葛飾鎌倉＃１６,東京都葛飾区鎌倉２丁目,京成本線 京成小岩駅 徒歩12分,2022年10月(築1年),2階建,"220,000円",0円,22.0万円,無料,2SLDK,74.52㎡,0円
ステラメゾン茗荷谷,東京都文京区小日向４丁目,東京メトロ丸ノ内線 茗荷谷駅 徒歩1分,2006年12月(築17年),14階建,"180,000円","10,000円",18.0万円,18.0万円,2DK,44.86㎡,"88,000円"
メゾン　チノ,東京都葛飾区青戸,京成本線 青砥駅 徒歩2分,1987年1月(築36年),2階建,"73,000円","2,000円",7.3万円,無料,2DK,38.33㎡,0円
サクラノキテラス中目黒,東京都目黒区上目黒３丁目,東急東横線 中目黒駅 徒歩6分、東急東横線 祐天寺駅 徒歩12分,2010年1月(築13年),3階建,"210,000円","5,000円",無料,無料,2DK,45.43㎡,0円
アイルグランデ大田,東京都大田区中馬込１丁目,都営浅草線 馬込駅 徒歩8分、都営浅草線 西馬込駅 徒歩13分,2021年4月(築2年),5階建,"135,000円","10,000円",無料,無料,2K,37.37㎡,0円
Ｋｏｌｅｔ葛飾西水元＃０８,東京都葛飾区西水元１丁目,ＪＲ常磐線 金町駅 徒歩38分,2023年1月(新築),2階建,"198,000円",0円,19.8万円,19.8万円,3LDK,77.21㎡,0円
Ｋｏｌｅｔ葛飾高砂＃０８,東京都葛飾区柴又４丁目,京成本線 京成高砂駅 徒歩11分、京成金町線 柴又駅 徒歩8分,2022年10月(築1年),3階建,"217,000円",0円,21.7万円,無料,2SLDK,96.23㎡,0円
Ｋｏｌｅｔ堀切菖蒲園＃０２,東京都葛飾区東堀切２丁目,京成本線 お花茶屋駅 徒歩12分,2022年10月(築1年),3階建,"188,000円",0円,18.8万円,無料,2SLDK,72.56㎡,0円
Ｋｏｌｅｔ葛飾高砂＃０３,東京都葛飾区高砂３丁目,京成本線 京成高砂駅 徒歩5分,2022年10月(築1年),3階建,"208,000円",0円,20.8万円,無料,2SLDK,72.68㎡,0円
Ｋｏｌｅｔ葛飾高砂＃０４,東京都葛飾区高砂６丁目,京成本線 京成高砂駅 徒歩14分,2022年10月(築1年),3階建,"196,000円",0円,19.6万円,無料,2SLDK,69.31㎡,0円
Ｋｏｌｅｔ葛飾鎌倉＃０６,東京都葛飾区鎌倉３丁目,京成本線 京成小岩駅 徒歩9分,2022年10月(築1年),3階建,"205,000円",0円,20.5万円,無料,2SLDK,75.34㎡,0円
グランドフェニックス,東京都新宿区西早稲田３丁目,ＪＲ山手線 高田馬場駅 徒歩11分、都電荒川線 面影橋駅 徒歩2分,1997年4月(築26年),13階建,"176,000円","16,000円",17.6万円,無料,2LDK,68.38㎡,"88,000円"
ワールドレジデンス,東京都豊島区長崎５丁目,西武池袋線 東長崎駅 徒歩5分、東京メトロ有楽町線 千川駅 徒歩14分,2023年12月(新築),2階建,"172,000円","5,000円",17.2万円,17.2万円,2LDK,53.68㎡,0円
オープンレジデンシア上野入谷,東京都台東区入谷２丁目,東京メトロ日比谷線 入谷駅 徒歩6分、つくばエクスプレス 浅草駅 徒歩9分,2023年8月(新築),15階建,"189,000円","10,000円",18.9万円,18.9万円,2LDK,48.1㎡,"88,000円"
Ｋｏｌｅｔ葛飾西水元＃０７,東京都葛飾区西水元１丁目,ＪＲ常磐線 金町駅 徒歩38分,2023年1月(新築),2階建,"198,000円",0円,19.8万円,19.8万円,3LDK,74.11㎡,0円
Ｋｏｌｅｔ足立神明南,東京都足立区神明南１丁目,つくばエクスプレス 六町駅 徒歩18分,2023年1月(新築),3階建,"220,000円",0円,22.0万円,22.0万円,3SLDK,91.49㎡,0円
Ｋｏｌｅｔ足立大谷田＃０３,東京都足立区大谷田１丁目,東京メトロ千代田線 北綾瀬駅 徒歩21分,2023年1月(新築),3階建,"188,000円",0円,18.8万円,18.8万円,2SLDK,71.27㎡,0円
Ｋｏｌｅｔ足立関原＃０２,東京都足立区関原２丁目,東武伊勢崎線 西新井駅 徒歩21分,2023年1月(新築),2階建,"204,000円",0円,20.4万円,20.4万円,2SLDK,89.79㎡,0円
Ｋｏｌｅｔ足立佐野＃０３,東京都足立区佐野２丁目,東京メトロ千代田線 北綾瀬駅 徒歩22分,2023年1月(新築),2階建,"203,000円",0円,20.3万円,20.3万円,4LDK,86.94㎡,0円
Ｋｏｌｅｔ亀有＃０３,東京都足立区東和２丁目,ＪＲ常磐線 亀有駅 徒歩12分,2022年10月(築1年),3階建,"199,000円",0円,19.9万円,無料,2SLDK,67.19㎡,0円
Ｋｏｌｅｔ八広＃０２,東京都墨田区東向島６丁目,京成押上線 八広駅 徒歩5分、東武伊勢崎線 東向島駅 徒歩8分,2022年10月(築1年),3階建,"215,000円",0円,21.5万円,無料,2SLDK,68.2㎡,0円
東雲キャナルコートＣＯＤＡＮ１８号棟,東京都江東区東雲１丁目,東京メトロ有楽町線 辰巳駅 徒歩9分、東京臨海高速鉄道りんかい線 東雲駅 徒歩12分,2004年3月(築19年),14階建,"200,000円","15,000円",20.0万円,20.0万円,2LDK,60.69㎡,0円
パークキューブ平和台,東京都練馬区平和台３丁目,東京メトロ有楽町線 平和台駅 徒歩9分、東京メトロ副都心線 平和台駅 徒歩9分,2007年6月(築16年),4階建,"201,000円",0円,20.1万円,20.1万円,2LDK,55.67㎡,0円
下落合ハウス,東京都新宿区下落合４丁目,西武新宿線 下落合駅 徒歩10分、西武池袋線 椎名町駅 徒歩11分,1951年1月(築72年),2階建,"109,000円",0円,無料,無料,2K,46.28㎡,0円
スカイタウン沼袋,東京都中野区沼袋３丁目,西武新宿線 沼袋駅 徒歩2分、西武新宿線 新井薬師前駅 徒歩13分,1987年11月(築36年),3階建,"112,000円","5,000円",11.2万円,無料,2DK,39.45㎡,"88,000円"
ハオスローレライ,東京都江戸川区上篠崎４丁目,都営新宿線 篠崎駅 徒歩6分、都営新宿線 瑞江駅 徒歩30分,1998年2月(築25年),8階建,"78,000円","6,000円",7.8万円,無料,2K,39.75㎡,0円
アルテシモクルブ,東京都目黒区目黒本町３丁目,東急目黒線 武蔵小山駅 徒歩5分、東急目黒線 西小山駅 徒歩12分,2023年11月(新築),6階建,"190,000円","15,000円",無料,無料,2DK,40.14㎡,0円
Ｋｏｌｅｔ梅島,東京都足立区梅田３丁目,東武伊勢崎線 梅島駅 徒歩14分,2022年5月(築1年),3階建,"218,000円",0円,21.8万円,無料,3SLDK,88.79㎡,0円
Ｋｏｌｅｔ足立入谷＃０３,東京都足立区入谷３丁目,日暮里舎人ライナー 舎人駅 徒歩13分,2023年1月(新築),3階建,"195,000円",0円,19.5万円,19.5万円,3LDK,94.8㎡,0円
Ｋｏｌｅｔ柴又＃０６,東京都葛飾区柴又２丁目,京成金町線 柴又駅 徒歩10分,2023年1月(新築),3階建,"201,000円",0円,20.1万円,20.1万円,2SLDK,72.09㎡,0円
