title,address,access,age,floor,fee,management_fee,deposit,gratuity,floor_plan,area,charge,access1_route,access1_nearest_station,access1_walking_minutes,access2_route,access2_nearest_station,access2_walking_minutes
ベルファース駒沢三丁目,東京都世田谷区駒沢３丁目,東急田園都市線 駒沢大学駅 徒歩10分、東急田園都市線 桜新町駅 徒歩13分,0,3,119000.0,10000.0,119000.0,0.0,2K,25.28,0.0,東急田園都市線,駒沢大学,10,東急田園都市線,桜新町,13
Ｋｏｌｅｔ堀切菖蒲園＃０５,東京都葛飾区東堀切２丁目,京成本線 お花茶屋駅 徒歩12分、京成本線 堀切菖蒲園駅 徒歩14分,1,3,188000.0,0.0,188000.0,0.0,2SLDK,72.0,0.0,京成本線,お花茶屋,12,京成本線,堀切菖蒲園,14
市ヶ谷加賀町アパートA棟,東京都新宿区市谷加賀町２丁目,都営大江戸線 牛込柳町駅 徒歩5分,54,3,163000.0,10000.0,163000.0,0.0,2LDK,48.71,0.0,都営大江戸線,牛込柳町,5,,,
Ｋｏｌｅｔ扇大橋,東京都足立区扇１丁目,日暮里舎人ライナー 扇大橋駅 徒歩11分,0,3,198000.0,0.0,198000.0,198000.0,3LDK,76.99,0.0,日暮里舎人ライナー,扇大橋,11,,,
グランカーサ三ノ輪Ⅱ,東京都台東区日本堤２丁目,東京メトロ日比谷線 三ノ輪駅 徒歩5分,0,10,171000.0,12000.0,0.0,171000.0,2DK,40.57,0.0,東京メトロ日比谷線,三ノ輪,5,,,
ＬＳメゾン,東京都杉並区方南２丁目,東京メトロ丸ノ内線 方南町駅 徒歩2分、東京メトロ丸ノ内線 中野富士見町駅 徒歩18分,2,3,205000.0,5000.0,205000.0,205000.0,2LDK,60.21,0.0,東京メトロ丸ノ内線,方南町,2,東京メトロ丸ノ内線,中野富士見町,18
ルフォンプログレ浅草入谷,東京都台東区千束２丁目,東京メトロ日比谷線 入谷駅 徒歩8分、つくばエクスプレス 浅草駅 徒歩11分,1,14,205000.0,15000.0,205000.0,0.0,2LDK,50.4,0.0,東京メトロ日比谷線,入谷,8,つくばエクスプレス,浅草,11
リングハウス,東京都江戸川区鹿骨５丁目,ＪＲ総武線 小岩駅 徒歩26分,18,2,95000.0,5000.0,0.0,0.0,3K,57.96,0.0,ＪＲ総武線,小岩,26,,,
ウェルスクエア永福町,東京都杉並区和泉３丁目,京王井の頭線 永福町駅 徒歩5分,0,4,177000.0,10000.0,177000.0,177000.0,2LDK,42.88,0.0,京王井の頭線,永福町,5,,,
ハイシティプラザ南大泉,東京都練馬区南大泉３丁目,西武池袋線 保谷駅 徒歩4分,32,8,155000.0,0.0,155000.0,155000.0,3LDK,74.63,0.0,西武池袋線,保谷,4,,,
錦織貸家,東京都新宿区西新宿５丁目,都営大江戸線 西新宿五丁目駅 徒歩6分、東京メトロ丸ノ内線 中野坂上駅 徒歩8分,1,2,210000.0,0.0,210000.0,210000.0,3DK,62.8,88000.0,都営大江戸線,西新宿五丁目,6,東京メトロ丸ノ内線,中野坂上,8
メゾン東小岩Ⅱ,東京都江戸川区東小岩５丁目,ＪＲ総武線 小岩駅 徒歩10分、京成本線 江戸川駅 徒歩14分,35,3,80000.0,3000.0,80000.0,0.0,2K,36.36,0.0,ＪＲ総武線,小岩,10,京成本線,江戸川,14
コスモプレイス赤羽Ⅱ,東京都北区神谷２丁目,ＪＲ京浜東北・根岸線 赤羽駅 徒歩10分、東京メトロ南北線 志茂駅 徒歩14分,34,4,105000.0,8000.0,105000.0,0.0,2DK,44.7,0.0,ＪＲ京浜東北・根岸線,赤羽,10,東京メトロ南北線,志茂,14
コンフォリア・リヴ根岸二丁目,東京都台東区根岸２丁目,ＪＲ山手線 鶯谷駅 徒歩3分、東京メトロ日比谷線 入谷駅 徒歩10分,1,13,108000.0,8000.0,108000.0,0.0,2K,25.11,0.0,ＪＲ山手線,鶯谷,3,東京メトロ日比谷線,入谷,10
ADレジデンス戸越公園,東京都品川区豊町２丁目,東急大井町線 下神明駅 徒歩6分、東急大井町線 戸越公園駅 徒歩8分,34,3,93000.0,0.0,93000.0,0.0,2K,29.7,37000.0,東急大井町線,下神明,6,東急大井町線,戸越公園,8
コンフォリア新御徒町,東京都台東区三筋２丁目,都営大江戸線 新御徒町駅 徒歩4分、都営大江戸線 蔵前駅 徒歩8分,4,14,191000.0,10000.0,191000.0,0.0,2LDK,44.64,0.0,都営大江戸線,新御徒町,4,都営大江戸線,蔵前,8
パークハイム,東京都北区赤羽１丁目,ＪＲ京浜東北・根岸線 赤羽駅 徒歩7分、ＪＲ埼京線 赤羽駅 徒歩7分,31,4,115000.0,0.0,115000.0,0.0,3K,46.92,88000.0,ＪＲ京浜東北・根岸線,赤羽,7,ＪＲ埼京線,赤羽,7
エトワール,東京都北区赤羽２丁目,ＪＲ京浜東北・根岸線 赤羽駅 徒歩7分、東京メトロ南北線 赤羽岩淵駅 徒歩3分,23,6,175000.0,5000.0,175000.0,175000.0,3LDK,67.65,88000.0,ＪＲ京浜東北・根岸線,赤羽,7,東京メトロ南北線,赤羽岩淵,3
ＡＬＴＥＲＮＡ日暮里,東京都荒川区東日暮里２丁目,東京メトロ日比谷線 三ノ輪駅 徒歩8分,0,10,198000.0,15000.0,0.0,0.0,2LDK,51.23,0.0,東京メトロ日比谷線,三ノ輪,8,,,
